text,cat
auto no work,11
Bolehkah anda melakukan pemeriksaan lanjut mengenai status sambungan perkhidmatan?,5
Saya tidak boleh pergi ke internet selepas membeli pas tambahan,13
service not working ,12
Berapakah jumlah tertunggak dan bagaimana saya membuat pembayaran?,2
not able to make calls,12
please get me an agent!,7
Kenapa saya harus meneruskan TM apabila saya tidak dapat membuat panggilan asas?,12
why no autopay,11
What is the total amount i have to pay this time?,2
My phone is blocked and i need PUK code,16
Saya tidak mendapat penghantaran bil pertama ke e-mel saya selepas pemasangan. Sila nasihatkan,1
Bolehkah anda menghantar seseorang ke bawah untuk memeriksa sambungan internet saya,5
Apakah nombor akaun unifi yang saya ada?,15
Apa yang berlaku? Saya tidak boleh menggunakan semua perkhidmatan Internet dan telefon rumah!,4
need PUK ,16
I have multiple unifi accounts. What are the numbers?,15
Saya ingin bercakap dengan orang yang sebenar,7
mobile internet not working,4
internet and phone no work,4
MY INTERNET IS DOWN FOR 5 DAYS. DO SOMETHING,5
Bilakah kontrak saya bermula dan kapan akan berakhir?,8
Why is the bill not delivered to me? I request to receive an email copy of the bill,1
"No service, I need help",10
cannot get any calls please help,12
Is the telco having issues? I have no internet access ,4
"Saya mempunyai banyak akaun, apakah nombor akaun utama?",15
Saya ingin mendapatkan Kod PUK saya,16
"No internet for 5 days, call your people down now",5
What is my contract validity period?,8
May i know my validity period of my contract?,8
"Turbo service upgrade, please expedite",3
Adakah anda tahu jumlah yang saya berikan?,9
"Saya telah membayar tetapi isu autopay mempunyai masalah, jangan menghukum saya",11
What is the total amount for my current bill?,9
Fix my Internet and phone service NOW,4
I want to talk to agent,7
"I made payment but autopay didn’t work, not my problem",11
Saya memasuki pin sim salah dan saya perlukan kod PUK sekarang,16
Apakah jumlah bayaran saya yang belum dijelaskan?,9
My internet is down. I bought the reload pass,13
"Follow up on my appointment, it has been five days",5
Saya membuat pembayaran beberapa hari lagi. Berapakah jumlah tertunggak?,2
I would like to make a call but there is no service,10
What is my oustanding amount and my current billing amount?,9
Apakah tempoh sah saya?,8
"Phone call problems, please advise",12
What is the total amount i have to pay this time?,9
Customer has multiple account in unifi and would like to know the account number.                        ,15
"Customer is in china, he tries making a call but failed to do so.   ",14
Saya tidak mempunyai perkhidmatan pada telefon saya. Tolong saya,10
Bilakah tempoh kesahihan saya berakhir?,8
what is my outstanding payment amt,9
auto not work,11
"Saya membuat bayaran tetapi autopay tidak berfungsi, bukan masalah saya",11
I want to pay my outstanding amount please,11
What’s my account number in unifi?,15
Tell me my contract validity period?,8
Do you know my bill and outstanding payment amount?,2
Berikan saya kod PUK saya,16
"Autopay turun, berapakah jumlah yang saya berikan?",11
Apa yang salah dengan Telekom? Kenapa semua perkhidmatan saya turun?,4
Can you fix the autopay? I can’t make any payment ,11
Who is my technical restorer? ,6
Is there a problem with my service connection?,4
CSO NOW,7
Adakah terdapat masalah dengan sambungan perkhidmatan saya?,4
"Internet saya tidak berfungsi, sila semak",5
Customer wrongly entered the sim pin and the phone was blocked and request for PUK Code.       ,16
who is my technician?,6
"I cannot make calls, phone displays “no service”",10
No internet even after I paid for reload pass,13
Adakah perantauan di luar negara saya tidak suka? Saya tidak boleh membuat panggilan telefon,14
What is my payment amount outstanding?,9
Apakah yang salah dengan autopay? Saya tidak dapat membayar jumlah yang saya berikan,11
"SIM saya disekat, apakah kod PUK yang ia minta?",16
Please let me know my outstanding bill amount?,9
Display all my account number in unifi,15
no bill delivery to my email,1
Bilakah saya boleh berundur semula,8
Saya telah membeli tambah nilai data tetapi tidak berfungsi,13
"Saya tidak dapat menggunakan perkhidmatan Internet dan telefon selama 12 jam yang lalu, apakah perkhidmatan itu turun?",4
I would like to know if there is any outstanding amount before i make any payment?,2
Technical restorer details,6
"I would like to pay, what account amount?",9
How much do I need to pay for this month?,2
Saya tidak dapat menggunakan internet dan telefon saya. Apa yang terjadi?,4
Saya meminta peningkatan perkhidmatan turbo,3
Adakah telekomunikasi mempunyai masalah? Saya tidak mempunyai akses internet,4
Saya ingin membayar jumlah yang saya berikan,11
What is my outstanding payment and bill amount?,2
phone and net down,4
What is wrong with Telekom? Why are all my services down?,4
I made payment a few days back. How much is the oustanding amount?,2
"Tiada perkhidmatan, saya memerlukan bantuan",10
Bolehkah saya meningkatkan akaun saya ke turbo?,3
Naik taraf akaun ini untuk turbo sila,3
"Saya tidak boleh membuat panggilan, tiada perkhidmatan",10
I need to make payment for my outstanding amount but the autopay is not working,11
what is the name and handphone number of the restorer?,6
Saya tidak boleh menghubungi sesiapa sahaja dari China,14
Apakah nombor akaun unifi saya?,15
my service is not work,12
Robot go away,7
paid but no internet ,13
TM has not done anything for 5 days. Where is MY APPOINTMENT?,5
I made payment a few days back. How much is the oustanding amount?,9
Sila berikan saya nama dan hubungi tiada pemulih,6
"Saya ingin membayar, berapa jumlah akaun?",9
Can you do a further check on the service connection status?,5
restorer number please?,6
Please let me know the total bill amount for this month,9
Saya telah cuba membuat panggilan tetapi ia tidak berfungsi dari China,14
"Saya tidak boleh membuat panggilan, telefon memaparkan ""tiada perkhidmatan""",10
turbo service,3
INTERNET saya turun selama 5 hari. LAKUKAN SESUATU,5
When will i receive my billing as my service installation is done?,1
Why my phone cannot make phone call??,10
When are all the services going to recover?,4
Bilakah saya harus menunggu untuk menerima tagihan pertama saya? Adakah ia akan dihantar melalui e-mel juga?,1
Kenapa saya tidak boleh membuat panggilan ke telefon saya?,12
"Dibeli lulus semula data, tetapi tidak dapat melayari Internet",13
What is my service connection status?,5
Provide me my contract validity period,8
No robot,7
"Selepas pemasangan perkhidmatan saya selesai, kenapa tidak ada bil yang dihantar kepada saya lagi?",1
Customer not able to use Internet and homeline/phone since last night. Suspected all service down. ,4
What happened? I can’t use all the Internet and home phone services!,4
I’d like to talk to real person,7
I entered the wrong sim pin and i need PUK code now,16
Why the hell should I continue with TM when i can’t even make a basic call?,12
Sila mempercepatkan naik taraf turbo untuk saya,3
Berikan saya kod PUK,16
What is the outstanding amount and how do I make payments?,2
"Turunkan perkhidmatan Turbo, sila mempercepatkan",3
I want turbo service upgrade NOW,3
Why my phone cannot make phone call??,12
Saya ingin bercakap dengan pegawai khidmat pelanggan anda sekarang,7
"my phone is blocked, can I have my PUK Code?",16
Provide me my PUK code,16
Tempoh sah kontrak TM saya?,8
Why the hell should I continue with TM when i can’t even make a basic call?,10
Do you know my outstanding amount?,9
Bercakap dengan ejen sembang langsung,7
technician phone numbeR?,6
"Turbo service upgrade, please",3
Saya di China cuba membuat panggilan telefon tetapi saya tidak boleh membuat panggilan telefon,14
speak human now,7
"I haven’t received my bill, when must I make payment? I’d like to have an electronic copy of the bill",1
Apakah jumlah yang saya perlu bayar kali ini?,2
"internet no work, I paid for data alr",13
Bolehkah anda menghantar saya kod PUK kerana telefon saya disekat,16
Muat semula data mendapat masalah? Saya masih tidak mempunyai internet untuk digunakan,13
"I have not received my mobile service bill. My service contract started on 22-Jan, could you please send me an email copy?",1
recontract date,8
How long is TM going to hold me hostage?,8
Adakah terdapat nombor bagi saya untuk menghubungi juruteknik secara langsung?,6
bill amt? any more must pay?,9
Apakah jumlah amaun bil saya sekarang?,2
I want to speak to your manager,7
Please give me details of technical restorer,6
Saya tidak boleh menyambung ke internet walaupun saya mempunyai pasang tambah nilai,13
Saya perlu membuat bayaran untuk jumlah yang saya baki tetapi autopay tidak berfungsi,11
need PUK number for sim,16
Customer complains unable to receive calls since yesterday.       ,12
Is my overseas roaming not wokring? I can’t make a phone call,14
"Saya tidak menerima bil saya, bilakah saya perlu membuat pembayaran? Saya ingin mempunyai salinan elektronik bil",1
I cannot receive any calls since yesterday,12
cannot pay auto,11
"there is no service, what is this bullshit",4
what is my bill $?,2
i have no service,4
"Can I pay my oustanding amount, autopay is dead.",11
Kenapa saya tidak boleh membuat panggilan di China?,14
I can't connect to the internet even though I have the reload pass,13
Can I have my outstanding bill amount as I want to pay?,9
I got no bill to my email after technician came. Why?,1
"Please transfer to actual agent, I’d like to lodge a complaint",7
Unifi account numbers please,15
Berikan saya kod PUK saya,16
"I have many accounts, what’s the main account number?",15
Pergi dan mengejar Autopay untuk wang itu,11
bil amount? Outstanding?,2
Nombor akaun saya sila,15
Mengapa bil tidak dihantar kepada saya? Saya meminta untuk menerima salinan e-mel dari bil tersebut,1
Customer is asking about billing delivery via e-mail. Customer not receive 1st bill after service installation,1
Cannot use phone. PUK Code please,16
saya ingin membuat bayaran untuk bil semasa saya dan amaun tertunggak saya. Bagaimana saya pergi mengenainya?,2
talk to csr now,7
fone blocked PUK code pls,16
Apakah status sambungan perkhidmatan saya?,5
Apakah akaun saya tidak dalam keadaan unifi?,15
Autopay system down? I can’t do any payment,11
Customer request for technical (restorer) name and contact details,6
"Tiada siapa yang boleh memanggil saya hari ini, mengapa?",12
Muat semula data saya tidak berfungsi dan tidak ada internet untuk digunakan,13
total bill amt please?,9
How fast will be the turbo service upgrade be ready for me?,3
what is my recontract status,8
contract bal pls,8
TM memberi saya masalah membuat panggilan,10
Internet telah turun sejak malam tadi. Apa yang sedang berlaku?,4
Apakah jumlah tertunggak di bawah akaun saya?,9
Saya ingin tahu nombor akaun Unifi saya,15
"Saya tidak boleh membuat panggilan, telefon memaparkan ""tiada perkhidmatan""",12
Saya menggunakan pass reload data tetapi saya masih tidak mempunyai data internet,13
Am i the only one having internet problem last night?,4
"no bill to email, why?",1
Bagaimanakah saya mendapatkan naik taraf turbo untuk akaun ini?,3
Apakah tempoh sah kontrak saya?,8
Give me my PUK code,16
Unifi acct no,15
"I can't make a call, there is no service",10
Give technical restorer details,6
Apakah jumlah amaun bil saya sekarang?,9
My account number,15
my signal is bad,12
"PUK code please, to unlock my phone",16
What is my bill amount and oustanding payment?,2
Saya tidak mempunyai perkhidmatan pada telefon saya. Tolong saya,12
i want to make payment for my current billing and my outstanding amount. How do i go about it?,9
"Phone call problems, please advise",10
"I paid already but autopay has issues, don’t penalise me",11
Beritahu saya semua akaun saya tidak di unifi?,15
Apakah jumlah pembayaran dan bil saya yang belum dijelaskan?,2
"Mengikuti pelantikan saya, sudah lima hari",5
no svc cant call,10
"Customer has outstanding amount to pay however, the autopay did not function. ",11
Saya tidak menerima sebarang bil daripada anda selepas pemasangan perkhidmatan saya. Bilakah ia akan dihantar kepada saya?,1
I want to know all my account number in unifi,15
i want to make a complaint to your customer officer now.,7
auto nt working,11
I need to make a phone call but i have no telco service,10
TM memberi saya masalah membuat panggilan,12
Adakah anda tahu bil saya dan jumlah pembayaran yang belum dibayar?,2
saya ingin membuat bayaran untuk bil semasa saya dan amaun tertunggak saya. Bagaimana saya pergi mengenainya?,9
Why my phone is not able to make a phone call? I’m at overseas now,14
Ejen chat langsung sila,7
Do you recommend me to upgrade using turbo service?,3
Bilakah kontrak saya tamat?,8
pay bill and oustanding?,9
i want to speak with an agent!,7
payauto fail,11
I have tried to make a call but it is not working from China,14
"Tiada internet selama 5 hari, hubungi orang ramai sekarang",5
I want the name and contact details about the restorer?,6
Berapa lamakah TM akan menahan tebusan saya?,8
Butiran pemulihan teknikal,6
I would like to check about my billing delivery status. Why is it not delivered to me yet?,1
Berapa banyak yang perlu saya bayar untuk bulan ini?,9
Why i can’t make a call on my phone?,10
how much amt I need pay?,2
Please speed up turbo service upgrade for me,3
Adakah anda mencadangkan saya menaik taraf menggunakan perkhidmatan turbo?,3
"I am not able to use Internet and phone service for the past 12 hours, is the service down?",4
Please let me know the total bill amount for this month,2
Bagaimanakah cara mendapatkan kod PUK untuk membuka kunci SIM saya?,16
Do you know my contract validity?,8
TM gives me problem making calls,10
Saya mempunyai beberapa akaun unifi. Apakah nombor-nombor itu?,15
Kenapa telefon saya tidak boleh membuat panggilan telefon ??,10
how long contract?,8
Cannot make calls,12
"How do I browse Internet, after purchasing data reload pass?",13
Bolehkah saya mendapatkan penghantaran bil ke e-mel saya? Saya tidak menerima apa-apa bil selepas pemasangan pertama saya,1
"I cannot make call in China, please advise",14
Saya ingin tahu jika ada jumlah yang belum dijelaskan sebelum saya membuat pembayaran?,9
My data reload is not working and no internet to use,13
What unifi account numbers do I have?,15
Internet saya turun. Saya membeli pasang tambah nilai,13
can i speak with a human,7
is 1st bill supposed to go to my email?,1
Boleh saya meminta anda melakukan pemeriksaan terperinci mengenai status sambungan perkhidmatan saya?,5
Internet saya tidak berfungsi selepas membeli tambah nilai pas,13
Tell the customer officer to call me now. I wish to speak to him,7
Saya mempunyai masalah dengan internet dan telefon bimbit saya. Saya ingin ia diperiksa,4
I want to know my Unifi account numbers,15
Tolong beritahu saya jumlah bil yang saya berikan?,9
"I cannot call anyone, I am in China.",14
Contract validity period?,8
Robot pergi,7
Saya perlu membuat panggilan telefon tetapi saya tidak mempunyai perkhidmatan telco,10
How do I obtain PUK code to unlock my SIM,16
tech phone number pls?,6
"Saya memasukkan PIN dengan salah dan mengakibatkan sim terkunci, sila berikan kod PUK untuk membuka kunci",16
Panggilan telefon luar negara saya tidak berfungsi. Tolong bantu,14
The internet has been down since last night. What is going on?,4
Tolong beritahu saya berapa lama lagi anda akan menipu wang saya,8
"Bought data reload pass, but can’t even browse Internet",13
I would like to know if there is any outstanding amount before i make any payment?,9
"Bagaimanakah saya melayari Internet, selepas membeli pulangan data pas?",13
Bilakah saya akan menerima pengebilan saya sebagai pemasangan perkhidmatan saya?,1
"TM menipu wang saya lah, tidak boleh melayari Internet",13
Saya tidak dapat menerima sebarang panggilan sejak semalam,12
right Unifi acct no pls,15
Nama juruteknik dan telefon bimbit,6
How much is the turbo service upgrade?,3
"TM cheat my money lah, cannot browse Internet",13
Is the service connection ok?,5
Saya mahu nama dan butiran perhubungan tentang pembaik pulih?,6
Bilakah semua perkhidmatan akan pulih?,4
Telefon saya disekat dan saya memerlukan kod PUK,16
Robot sucks,7
Sediakan tempoh sah kontrak saya,8
Sambungkan saya ke pegawai anda sekarang,7
Telefon saya tidak boleh dipanggil sejak semalam,12
I would like to get my PUK Code,16
Apakah jumlah tagihan saya dan pembayaran yang saya terima?,2
When is my validity period ending?,8
TM tidak melakukan apa-apa selama 5 hari. Di manakah PELANTIKAN saya?,5
"telefon saya disekat, bolehkah saya mempunyai kod PUK saya?",16
What is the total amount for my current bill?,2
Tiada robot,7
Apa yang salah dengan sambungan Internet saya,5
Sila ulangi nombor juruteknik dan nombor telefon bimbit,6
Customer complaint unable to browse internet once purchased data reload pass.       ,13
I bought reload pass but internet is not working,13
internet down for 5 days ,5
Cannot make calls,10
I would like to upgrade this account for turbo service.,3
Customer really angry since no one from TM calling customer and arrange for appointment since internet has been down for 5 days,5
Please repeat the technician’s name and handphone number,6
Saya tidak mendapat bil pertama selepas pemasangan perkhidmatan. Apakah e-mel saya?,1
Jumlah bayaran tertunggak? Jumlah bil?,2
"Saya belum menerima bil pertama saya, sila hantarkan saya bil melalui e-mel",1
Customer is asking about contract validity period,8
in cn cannot call people,14
What are my unifi account numbers?,15
Sistem Autopay ke bawah? Saya tidak boleh melakukan apa-apa bayaran,11
My phone can't be called since yesterday,12
Mengapa telefon saya tidak dapat membuat panggilan telefon? Saya berada di luar negara sekarang,14
Apakah jumlah tertunggak di bawah akaun saya?,2
How much do I need to pay for this month?,9
I cannot get use my internet and phone. What happen?,4
TM gives me problem making calls,12
internet and phone boleh,4
Adakah sambungan perkhidmatannya ok?,5
saya recontract,8
Saya perlukan pertolongan! Saya tidak mempunyai internet sejak malam tadi. Sila nasihatkan cara membetulkannya?,4
Could you please send someone down to check my Internet connection,5
Adakah anda menyokong memanggil orang dari China?,14
"Why is there so many account numbers, which is the right one?",15
Berikan saya nama pemulih?,6
Recent bill amount and outstanding payment amount,2
Data reload got problem? I still don’t have internet to use,13
Bolehkah anda menyemak sambungan saya untuk internet dan telefon saya?,4
Unable to make call in China,14
I didn’t receive any billing from you after my service installation. When will it be sent to me?,1
Bagaimanakah saya membuat pembayaran kerana autopay tidak berfungsi?,11
Get the CSO to talk to me to phone,7
Apakah tempoh sah kontrak saya?,8
I would like details of my restorer,6
Berapakah peningkatan perkhidmatan turbo?,3
reload but I cannot use internet,13
cannot call ppl in china,14
Please check my service connection,5
contract valid until when?,8
reload pay no internet,13
What is my oustanding amount and my current billing amount?,2
"Saya berada di China sekarang, bagaimana saya membuat panggilan?",14
Mengapa saya tidak dapat menerima pengebilan saya selepas pemasangan perkhidmatan?,1
"Autopay is down, what is my outstanding amount?",11
Saya mahu bercakap dengan pengurus anda,7
turbo service upgrading for this account,3
I want upgrade my account to turbo,3
"I cannot make calls, phone displays “no service”",12
Where is my appointment? It has been 5 days. ,5
Unifi no,15
tidak boleh mendapatkan apa-apa panggilan sila tolong,12
apakah nama dan nombor telefon bimbit pembaik?,6
My overseas phone call is not working. Please help,14
"Autopay menjadi gaji manual, WTH",11
Saya ingin membuat panggilan tetapi tiada perkhidmatan,10
"No one can call me today, why?",12
Apakah nombor akaun saya dalam unifi?,15
autopay fail,11
Customer wants to make payment and would like to know the outstanding amount.             ,9
I have already bought a data reload but it is not working,13
Beritahu pegawai pelanggan untuk menghubungi saya sekarang. Saya ingin bercakap dengannya,7
Saya membuat pembayaran beberapa hari lagi. Berapakah jumlah tertunggak?,9
no bill after installation. Why no email?,1
"I’m in China now, how do I make call?",14
Can you give me the name of the technical restorer?,6
My internet is not working after buying reload pass,13
Troubleshoot my Internet and get it working NOW,5
Adakah saya satu-satunya masalah internet semalam?,4
no call why no svc,12
Bolehkah anda melakukan pemeriksaan yang betul pada sambungan perkhidmatan?,5
"So troublesome to have many account numbers, can’t you provide one single customer identification number?",15
when can i recontract,8
"My SIM is blocked, what is this PUK code it’s asking for?",16
I need help! I don’t have internet since last night. Please advise how to fix this?,4
"Masalah panggilan telefon, sila maklumkan",10
Kindly provide me the name and contact no of the restorer,6
acct to turbo,3
i want to speak to your customer service officer now,7
Can I get my bill delivery to my email? I did not receive any bills after my first installation,1
i want to make payment for my current billing and my outstanding amount. How do i go about it?,2
Berapa banyak yang perlu saya bayar untuk bulan ini?,2
Customer is asking for recent bill amount and outstanding payment if any,2
Talk to live chat agent,7
I demand to speak to your customer service officer,7
Berapa cepatkah peningkatan taraf turbo bersiap sedia untuk saya?,3
Unifi,15
Tempoh sah tempoh kontrak?,8
My phone was blocked. Can I get my PUK Code?,16
hw much bill amt?,9
"Sila berikan kepada agen sebenar, saya ingin membuat aduan",7
"Masalah panggilan telefon, sila maklumkan",12
need restorer no,6
Is there a number for me to contact the technician directly?,6
transfer me to agent!,7
Robot menghisap,7
Saya memasuki PIN SIM salah dan saya disekat. Tolonglah Nasihat,16
Telefon saya disekat. Bolehkah saya mendapatkan Kod PUK saya?,16
Can you do a proper checking on the service connection?,5
Saya tidak dapat menerima apa-apa panggilan kerana tiada perkhidmatan. Tolong saya,10
Selesaikan masalah Internet saya dan dapatkan SEKARANG,5
service connection down,12
I can't call anyone as there is no service,10
Saya belum menerima panggilan dari semalam,12
Apakah butiran mengenai naik taraf perkhidmatan turbo?,3
When will my contract expire?,8
Go and chase Autopay for the money,11
Saya cuba membuat panggilan dari China tetapi tidak berfungsi.,14
Saya perlu membuat panggilan telefon tetapi saya tidak mempunyai perkhidmatan telco,12
I need to make a phone call but i have no telco service,12
Saya tidak mempunyai internet di rumah dan tiada internet di telefon saya juga. Adakah perkhidmatan turun?,4
I cannot call anyone from China,14
Give me his name and phone number,6
"After my service installation is done, why there isn’t a bill send to me yet?",1
"Autopay becomes manual pay, WTH",11
no call service,10
I have no internet even though i have already used data reload pass,13
what is my technician phone?,6
When did my contract start and when will it end?,8
Dapatkan CSO untuk bercakap dengan saya ke telefon,7
What’s the technician’s name and his contact details?,6
call connection is down,10
Di manakah pelantikan saya? Ia telah 5 hari.,5
What is my validity period?,8
What is wrong with my Internet connection,5
Can you check my connection for my internet and phone?,4
I did not get any first bill after service installation. What is my e-mail?,1
Betulkan perkhidmatan Internet dan telefon saya SEKARANG,4
Bolehkah saya mengetahui tempoh sah saya dalam kontrak saya?,8
How do i get the turbo service upgrade for this account?,3
I have no service on my phone. Please help me,10
What are my account no in unifi?,15
Kenapa saya tidak boleh membuat panggilan ke telefon saya?,10
cannot autopay,11
Bolehkah saya mempunyai jumlah bil tertunggak seperti yang saya mahu bayar?,9
"Saya tidak boleh mengakses internet dan mudah alih, bolehkah anda menyemak sambungan perkhidmatan saya?",4
why internet not right for 5 days,5
I using data reload pass but i still dont have internet data,13
Why can’t I make a call in China?,14
Tidak dapat membuat panggilan di China,14
Kenapa telefon saya tidak boleh membuat panggilan telefon ??,12
outstanding bill amt?,2
Upgrade this account for turbo please,3
Customer is asking about turbo service upgrading for this account,3
PUK no ,16
What’s the outstanding amount under my account?,2
what is my outstanding payment amount,9
csr now ,7
I cannot receive any call because of the no service. Help me please,12
acct upgrade turbo,3
bill to email?,1
What outstanding payment amount? Bill amount?,2
What is the outstanding amount and how do I make payments?,9
I have no internet at home and no internet on my phone too. Is the service down?,4
May i request you do a check on my service connection status?,5
Tolong beritahu saya jumlah jumlah bil untuk bulan ini,2
restorer num ,6
Just give me a PUK code,16
Berikan teknikal restorer,6
"My internet not working, please check",5
The autopay is not working. How to pay?,11
